ID,Nombre,Categoria,Marca,Precio,CodeBar
1,Compound - Rum,Finance,Wintrust Financial Corporation,$66.72,321-53-7264
2,Longos - Greek Salad,Technology,"Integrated Device Technology, Inc.",$96.40,109-93-5113
3,Icecream - Dibs,Health Care,"Theravance Biopharma, Inc.",$0.33,506-33-9635
4,Goat - Whole Cut,n/a,Western Asset/Claymore U.S Treasury Inflation Prot Secs Fd 2,$2.74,271-08-4144
5,Milk - Chocolate 500ml,n/a,Eaton vance Floating-Rate Income Plus Fund,$36.99,368-87-4383
6,Sage Derby,Energy,North European Oil Royality Trust,$12.25,450-97-8659
7,"Jam - Raspberry,jar",n/a,Kayne Anderson MLP Investment Company,$25.11,634-45-6374
8,Milk - Skim,Basic Industries,Vulcan Materials Company,$66.81,879-80-1774
9,Beef Tenderloin Aaa,Technology,"Evertec, Inc.",$83.68,894-40-0064
10,"Cheese - Brie, Triple Creme",n/a,Solar Capital Ltd.,$42.24,735-33-2324
11,Glucose,n/a,Medley Capital Corporation,$1.56,199-28-3927
12,Wine La Vielle Ferme Cote Du,n/a,"Delaware Investments Dividend & Income Fund, Inc.",$85.58,225-59-6131
13,"Zucchini - Mini, Green",Finance,"AMERISAFE, Inc.",$35.26,746-05-5855
14,Halibut - Fletches,n/a,First Trust Japan AlphaDEX Fund,$91.87,767-44-4563
15,"Tarragon - Primerba, Paste",Technology,WPP plc,$18.41,155-78-8750
16,Pasta - Ravioli,Finance,Cathay General Bancorp,$90.35,156-91-5848
17,Ham - Virginia,Consumer Non-Durables,"Hasbro, Inc.",$68.96,386-45-2081
18,Food Colouring - Orange,Miscellaneous,"Energizer Holdings, Inc.",$46.28,522-90-3528
19,"Yogurt - Blueberry, 175 Gr",Technology,"Digiliti Money Group, Inc.",$8.36,276-37-8052
20,"Wine - Magnotta, Merlot Sr Vqa",n/a,FIRST REPUBLIC BANK,$6.82,588-51-9287
21,Monkfish - Fresh,n/a,Tuttle Tactical Management Multi-Strategy Income ETF,$16.33,693-71-8831
22,Halibut - Steaks,Finance,"Fidelity National Financial, Inc.",$62.01,265-51-1518
23,Breadfruit,Consumer Services,"Willdan Group, Inc.",$55.87,142-13-8387
24,Dome Lid Clear P92008h,Energy,Phillips 66 Partners LP,$89.02,256-58-5725
25,Carbonated Water - Peach,Capital Goods,"Agilent Technologies, Inc.",$10.39,159-31-2501
26,Mortadella,Finance,"Texas Capital Bancshares, Inc.",$34.40,495-31-5283
27,Ostrich - Fan Fillet,Finance,Associated Banc-Corp,$53.48,405-89-0988
28,Island Oasis - Mango Daiquiri,Miscellaneous,CAE Inc,$16.46,139-83-9406
29,"Wine - White, Concha Y Toro",n/a,PIMCO Income Strategy Fund II,$34.48,685-16-7211
30,Longos - Cheese Tortellini,Miscellaneous,Highpower International Inc,$3.00,526-51-2772
31,Cake - Mini Cheesecake,n/a,First Trust Small Cap Growth AlphaDEX Fund,$63.42,765-55-3328
32,"Veal - Inside Round / Top, Lean",Health Care,Envision Healthcare Corporation,$52.14,816-02-4095
33,Pepper - Roasted Red,Technology,Hewlett Packard Enterprise Company,$56.49,322-96-4803
34,Raisin - Dark,Health Care,"Gilead Sciences, Inc.",$92.04,818-11-6003
35,Soup Knorr Chili With Beans,Technology,"Monster Digital, Inc.",$8.21,468-09-9572
36,The Pop Shoppe Pinapple,Finance,National General Holdings Corp,$29.99,461-17-4445
37,"Coke - Diet, 355 Ml",Miscellaneous,"Marchex, Inc.",$79.99,678-28-1948
38,Cheese - Provolone,Finance,"First Mid-Illinois Bancshares, Inc.",$99.52,113-68-4653
39,Pork - Belly Fresh,Finance,"Veritex Holdings, Inc.",$47.69,816-38-0930
40,Eggs - Extra Large,n/a,Tsakos Energy Navigation Ltd,$47.07,867-51-4159
41,Longos - Lasagna Veg,Consumer Services,Senior Housing Properties Trust,$70.96,895-92-9761
42,Muffin Puck Ww Carrot,Technology,"Fiserv, Inc.",$14.14,421-47-8111
43,"Veal - Insides, Grains",Finance,China Finance Online Co. Limited,$24.10,121-46-2874
44,Wine - Rubyport,Technology,McGrath RentCorp,$10.41,693-63-4975
45,"Pork - Tenderloin, Fresh",Health Care,Neptune Technologies & Bioresources Inc,$92.46,383-34-6490
46,Wine - Cotes Du Rhone Parallele,n/a,Calamos Strategic Total Return Fund,$59.39,676-28-9685
47,"Mushroom - Trumpet, Dry",n/a,"European Equity Fund, Inc. (The)",$33.08,648-11-6896
48,Flour - Strong Pizza,Public Utilities,American Water Works,$66.66,565-45-4446
49,Syrup - Chocolate,Energy,"Alliance Holdings GP, L.P.",$32.88,227-64-3617
50,Wine - Montecillo Rioja Crianza,Basic Industries,Glatfelter,$88.36,495-17-3903
51,Anchovy Fillets,Consumer Durables,ESCO Technologies Inc.,$41.05,628-82-6445
52,Crab Brie In Phyllo,Finance,Conyers Park Acquisition Corp.,$95.42,798-24-4113
53,Chicken - Livers,n/a,John Hancock Preferred Income Fund III,$90.68,106-13-8222
54,Beer - Rickards Red,Technology,Cars.com Inc.,$58.47,542-87-6817
55,"Fish - Scallops, Cold Smoked",Consumer Durables,"Bemis Company, Inc.",$7.21,292-34-1599
56,Sea Urchin,Energy,"EOG Resources, Inc.",$11.31,882-13-1432
57,"Juice - Clam, 46 Oz",Finance,OM Asset Management plc,$31.85,259-62-1147
58,Pastry - Cheese Baked Scones,n/a,Wells Fargo Global Dividend Opportunity Fund,$42.50,415-75-8716
59,Noodles - Steamed Chow Mein,n/a,Vanguard Russell 2000 ETF,$54.74,736-15-6424
60,Sugar Thermometer,Health Care,"Utah Medical Products, Inc.",$76.72,431-67-0153
61,Bread - Italian Sesame Poly,Technology,Resonant Inc.,$66.12,877-74-8671
62,Squash - Guords,Consumer Durables,iRobot Corporation,$47.11,430-40-6458
63,Monkfish Fresh - Skin Off,Finance,Carolina Financial Corporation,$20.09,143-32-9978
64,Sage - Fresh,Finance,"Southern First Bancshares, Inc.",$86.04,659-53-4946
65,Wheat - Soft Kernal Of Wheat,n/a,"PIMCO Strategic Income Fund, Inc.",$8.34,245-65-3993
66,Pea - Snow,Capital Goods,Cemtrex Inc.,$61.87,280-24-8005
67,"Artichoke - Hearts, Canned",Health Care,Aetna Inc.,$84.78,410-36-9062
68,Corn Meal,n/a,"NextEra Energy, Inc.",$77.34,429-69-0182
69,Cream Of Tartar,Finance,"Sound Financial Bancorp, Inc.",$73.54,209-38-1356
70,Flour - Fast / Rapid,Basic Industries,CTI Industries Corporation,$20.84,629-21-7193
71,Crackers - Melba Toast,Capital Goods,Park-Ohio Holdings Corp.,$44.68,387-25-4150
72,Chicken - Tenderloin,Capital Goods,Columbus McKinnon Corporation,$24.67,453-43-9470
73,"Wine - Harrow Estates, Vidal",Miscellaneous,RPX Corporation,$47.80,144-68-3344
74,Wine - Gewurztraminer Pierre,Consumer Services,"New York Mortgage Trust, Inc.",$5.06,706-06-2293
75,Wine - Chateau Timberlay,Technology,Intuit Inc.,$58.96,672-50-0540
76,Lychee - Canned,Finance,Bank of America Corporation,$63.70,799-37-8261
77,Salt - Kosher,Consumer Services,RLJ Lodging Trust,$58.68,252-48-6006
78,Lettuce - Romaine,Energy,Marine Petroleum Trust,$0.32,179-15-8016
79,"Peas - Pigeon, Dry",Consumer Services,Royal Caribbean Cruises Ltd.,$67.11,795-59-7354
80,Corn - On The Cob,Finance,"Popular, Inc.",$61.15,767-52-1311
81,Pork Loin Cutlets,n/a,M&T Bank Corporation,$8.21,728-64-7275
82,Wine - Ej Gallo Sierra Valley,n/a,Costamare Inc.,$14.46,596-59-2672
83,Lettuce - Green Leaf,Consumer Services,"Diversified Restaurant Holdings, Inc.",$52.46,339-31-8601
84,"Yogurt - Strawberry, 175 Gr",n/a,Global X Millennials Thematic ETF,$62.81,769-40-9804
85,Chicken - Livers,Consumer Services,"Lands' End, Inc.",$65.49,820-03-2114
86,Beans - Wax,Finance,"QCR Holdings, Inc.",$20.66,226-81-1039
87,Table Cloth 90x90 Colour,Public Utilities,AT&T Inc.,$9.50,456-20-7137
88,Veal - Heart,n/a,Vanguard Short-Term Government ETF,$53.43,174-83-8519
89,Cheese - Gouda Smoked,Health Care,Intrexon Corporation,$20.06,626-28-9290
90,Soy Protein,Finance,"Stock Yards Bancorp, Inc.",$24.26,889-80-7662
91,Wine - Casablanca Valley,Consumer Services,"Whole Foods Market, Inc.",$54.99,733-48-5011
92,Lobster - Cooked,Consumer Services,Emmis Communications Corporation,$3.77,496-99-2393
93,"Pork - Loin, Bone - In",Technology,Nano Dimension Ltd.,$93.47,578-98-8174
94,Soup - Campbells - Tomato,Consumer Durables,Central Garden & Pet Company,$61.66,501-82-7127
95,Sprouts - Bean,Technology,"Yext, Inc.",$31.94,136-62-4659
96,Sauce - Alfredo,Miscellaneous,"ALJ Regional Holdings, Inc.",$85.78,481-99-9011
97,"Pasta - Rotini, Colour, Dry",Technology,"Aware, Inc.",$14.25,654-20-8811
98,Chicken Breast Halal,Transportation,Azul S.A.,$39.76,710-85-3161
99,Glucose,n/a,"Equus Total Return, Inc.",$97.39,111-21-0461
100,Plastic Arrow Stir Stick,Miscellaneous,"ALJ Regional Holdings, Inc.",$71.30,219-95-5352
101,Wine - Magnotta - Cab Franc,n/a,PowerShares Multi-Strategy Alternative Portfolio,$26.18,340-76-4413
102,Squid U5 - Thailand,Consumer Services,"Tanger Factory Outlet Centers, Inc.",$30.12,842-73-2308
103,"Pasta - Rotini, Colour, Dry",Finance,Plumas Bancorp,$85.27,107-81-7189
104,Island Oasis - Banana Daiquiri,Basic Industries,Quaker Chemical Corporation,$32.52,386-84-6616
105,"Chicken - Breast, 5 - 7 Oz",Miscellaneous,"Verifone Systems, Inc.",$6.75,223-71-9132
106,Paper Towel Touchless,Consumer Non-Durables,Vina Concha Y Toro,$53.67,772-36-0886
107,Scotch - Queen Anne,Finance,"Bank of the James Financial Group, Inc.",$57.16,642-24-2418
108,Glaze - Clear,Basic Industries,"Pacific Ethanol, Inc.",$96.49,471-13-3909
109,"Wine - Red, Wolf Blass, Yellow",n/a,PIMCO Income Strategy Fund II,$99.85,278-42-0006
110,"Juice - Tomato, 48 Oz",n/a,Eaton Vance Corporation,$73.56,228-01-2311
111,Wood Chips - Regular,Finance,"National Bankshares, Inc.",$83.98,104-30-1804
112,Gatorade - Cool Blue Raspberry,Capital Goods,Easterly Acquisition Corp.,$42.53,161-90-8799
113,Bandage - Finger Cots,Technology,"Jack Henry & Associates, Inc.",$13.96,307-01-0217
114,"Syrup - Monin, Amaretta",Finance,Silver Run Acquisition Corporation II,$72.70,889-67-7674
115,"Cheese - Brie, Triple Creme",Energy,ConocoPhillips,$57.12,675-46-0525
116,Muffin Hinge - 211n,Basic Industries,Hexcel Corporation,$86.07,730-19-7303
117,Rice - Brown,Capital Goods,Taylor Morrison Home Corporation,$72.29,663-92-5524
118,Beans - Soya Bean,n/a,Nuveen All Cap Energy MLP Opportunities Fund,$31.57,550-92-2544
119,Sea Bass - Fillets,Basic Industries,Barrick Gold Corporation,$4.00,117-30-5041
120,Soup Campbells Beef With Veg,Public Utilities,"NiSource, Inc",$7.86,145-50-7981
121,Bread - Triangle White,n/a,Fiduciary/Claymore MLP Opportunity Fund,$20.33,874-10-8329
122,Beer - Paulaner Hefeweisse,Consumer Services,"Care.com, Inc.",$80.03,104-98-4696
123,Longos - Cheese Tortellini,Health Care,Sanofi,$8.77,850-83-3544
124,Mayonnaise,Consumer Non-Durables,Vina Concha Y Toro,$34.20,733-82-8148
125,"Fish - Soup Base, Bouillon",Technology,"Kelly Services, Inc.",$27.34,427-79-5581
126,Appetizer - Seafood Assortment,n/a,Pimco New York Municipal Income Fund II,$61.24,735-51-8974
127,Wine - Winzer Krems Gruner,n/a,First Trust NASDAQ Technology Dividend Index Fund,$81.47,687-28-2563
128,Cranberry Foccacia,Consumer Services,Essendant Inc.,$50.87,523-17-1171
129,Puree - Raspberry,Public Utilities,Alabama Power Company,$9.44,793-88-3933
130,Cherries - Fresh,Consumer Services,Great Ajax Corp.,$34.51,536-60-5786
131,Creme De Cacao White,Consumer Services,"Weis Markets, Inc.",$51.28,670-69-2399
132,"Pepper - Paprika, Spanish",Technology,Sparton Corporation,$28.58,237-27-1085
133,"Bread - Crumbs, Bulk",Technology,"NTT DOCOMO, Inc",$64.21,347-95-2244
134,Venison - Ground,Technology,Datawatch Corporation,$93.16,139-70-5429
135,Beer - True North Strong Ale,Consumer Non-Durables,V.F. Corporation,$25.64,488-62-9621
136,Soup Campbells - Italian Wedding,Finance,Citigroup Inc.,$20.37,370-79-4644
137,Remy Red,Health Care,ContraVir Pharmaceuticals Inc,$86.35,775-62-9643
138,Flour - Chickpea,Capital Goods,Ford Motor Company,$25.38,720-72-2085
139,Sugar - Invert,n/a,Blackrock California Municipal 2018 Term Trust,$3.57,322-77-2518
140,Syrup - Monin - Granny Smith,Consumer Durables,Cyanotech Corporation,$30.07,465-89-5565
141,Wine - Magnotta - Pinot Gris Sr,Health Care,"Viking Therapeutics, Inc.",$45.72,101-35-3744
142,Curry Paste - Madras,Health Care,"AtriCure, Inc.",$57.98,384-55-3841
143,"Wine - Red, Cabernet Merlot",Consumer Non-Durables,China New Borun Corporation,$39.93,677-09-3612
144,Crab - Meat,Finance,"Atlas Financial Holdings, Inc.",$62.58,290-21-4546
145,Shallots,Public Utilities,"BCE, Inc.",$47.74,756-50-6181
146,Wine - Piper Heidsieck Brut,Technology,"Activision Blizzard, Inc",$82.83,726-15-8711
147,"Cheese - Romano, Grated",Energy,CNX Coal Resources LP,$86.16,225-77-6632
148,Wanton Wrap,Miscellaneous,"USA Technologies, Inc.",$58.01,668-10-6994
149,Lettuce - Lambs Mash,Consumer Services,Liberty Global plc,$94.34,317-38-2819
150,Syrup - Kahlua Chocolate,Public Utilities,Black Hills Corporation,$63.11,411-20-8351
151,"Cherries - Maraschino,jar",Consumer Services,Altisource Portfolio Solutions S.A.,$58.98,722-50-1509
152,Spice - Pepper Portions,Health Care,"Idera Pharmaceuticals, Inc.",$96.03,380-98-1129
153,Halibut - Steaks,Health Care,"Merrimack Pharmaceuticals, Inc.",$29.47,758-55-9624
154,Wine - Dubouef Macon - Villages,n/a,iShares MSCI Global Impact ETF,$26.27,325-94-9610
155,Sage - Fresh,Energy,Tesoro Corporation,$58.47,273-33-4372
156,Pie Filling - Apple,Technology,Yandex N.V.,$82.88,136-44-7270
157,Tomato Puree,n/a,Cohen & Steers Reit and Preferred Income Fund Inc,$44.18,134-52-8078
158,"Pasta - Orzo, Dry",Miscellaneous,"GRAVITY Co., Ltd.",$3.84,367-99-6125
159,Foil Cont Round,Health Care,"Caladrius Biosciences, Inc.",$25.18,815-06-6685
160,Kolrabi,Consumer Services,Fastenal Company,$15.82,148-83-4421
161,Salmon - Sockeye Raw,Health Care,PAREXEL International Corporation,$85.79,283-74-1251
162,Ocean Spray - Kiwi Strawberry,n/a,TCF Financial Corporation,$48.01,392-62-7138
163,Walkers Special Old Whiskey,Consumer Services,Diamondrock Hospitality Company,$66.91,190-49-6615
164,Cranberries - Dry,Consumer Durables,"Pioneer Power Solutions, Inc.",$33.88,185-34-0394
165,Bread Fig And Almond,Consumer Services,"Yatra Online, Inc.",$60.18,860-25-0682
166,Tarragon - Fresh,Transportation,Scorpio Tankers Inc.,$46.79,178-92-5494
167,Bread - White Mini Epi,n/a,"Synthetic Fixed-Income Securities, Inc.",$52.39,367-28-6796
168,Dill Weed - Fresh,n/a,Ares Capital Corporation,$72.22,397-11-7176
169,Cinnamon Buns Sticky,Finance,"U.S. Global Investors, Inc.",$91.79,820-28-9265
170,Iced Tea Concentrate,Consumer Services,"Insignia Systems, Inc.",$12.64,188-95-5003
171,"Pork - Loin, Boneless",Technology,"AstroNova, Inc.",$35.16,231-04-8764
172,Bread - Focaccia Quarter,Health Care,"Onconova Therapeutics, Inc.",$66.45,875-59-3898
173,"Veal - Brisket, Provimi, Bone - In",n/a,First Trust Japan AlphaDEX Fund,$26.87,728-70-9786
174,Strawberries - California,Health Care,"Pacira Pharmaceuticals, Inc.",$64.51,799-04-7372
